"","perl_best_thing","perl_frustrates_most","describe_perl"
"396","It is very powerful","So many new methods, it is hard to keep up when you don't code full time","Best language for most jobs..."
"397","1. CPAN[CR]2. Execution speed","1. Clunky OOP[CR]2. Clunky exception handling[CR]3. Too many reserved keywords and special variables","Powerful. Inelegant. Makes writing bad code easy."
"398","How quickly complex programs web systems can be developed + debugged","Lack of easily deployable GUI on Win32","fast clever smart flexible awesome"
"399","the ability to get a project off the ground quickly.","what everyone else thinks about it, and the fact that the current implementation has an 80s heritage.","the programming language that respects you"
"400","Ubiquity.","Syntax.","Dangerous tool."
"401","There are too many ways for reaching your goal","There are too many ways for reaching your goal",""
"402","less code does a lot","The initial conceptual learning curve is very steep. It requires a person to be 130+ IQ, then after it's a lot easier.","delicious luscious beautiful artistic transparent"
"403","","",""
"404","CPAN.  Fast development time for tiny utility scripts -- but extremely fast development time on enormous, maintainable applications.  ","There is so much bad code out there that Perl is frowned upon.  It is extremely difficult to find high quality Perl developers. ","flexible, powerful, progressive, stable, pervasive"
"405","Easy to use ( when you fine the right module ... :-( )","To Find documentation about modules","Easy, Fast, For doing All"
"406","","",""
"407","","",""
"408","","",""
"409","Flexibility","",""
"410","","",""
"411","Moose","Moose","Interpreted fleable abused stable"
"412","Perl focuses on how to make programmers efficient. Also, TIMTOWTDIBSCINABTE.","It isn't often I need a debugger, but when I do, they suck...","Perl makes programmers efficient"
"413","Fast and flexible, regex intergration","Its being bullied by less flexible languages","fast flexible scalable compact"
"414","","",""
"415","","",""
"416","","",""
"417","CPAN","Ugly legacy code","Modern, mature, flexible, community standards"
"418","cpan, flexibility","default OO, no function signatures, dereferencing syntax","powerful, flexible, difficult"
"419","","",""
"420","easy of use.","slow execution.","easy slow powerful flexible practical"
"421","","",""
"422","Easy things are easy, hard things aren't that hard.  Hacking Module::Build is way more fun (and faster, and easier) than hacking maven any day of the week...","People think it's unmaintainable - I think a lot of folks find it hard to read.  I also think they don't try hard enough :)","Perl == ""the bomb"""
"423","","",""
"424","Open Source","Bad GUI","Best Open Source programming language"
"425","TIMTOWTDI","Some of the best modules aren't in core","Great software tool"
"426","Concise expression of complex formula, algorithms and programming tasks in readable, perl code.[CR][CR]Indexed documentation that explains on beginner to expert scales","Without really studying and learning Object-Oriented programming, it remains a usable part of perl, but not a programmable part","Scripted programming and system administration"
"427","Backwards and forwards compatibility, including documentation of changes and incompatibilities between versions. A colleague learned Perl 5.6 in 1990s and is still able to run code he wrote back then on Perl 5.10. I learned Perl 5.8 and expect to be able to continue being able to run code I've written for several years more with small or no changes. I also had to patch Perl 5.6 and even 5.4 code in a previous job, and was able to do so with ease and with help from perl58delta.[CR][CR]CPAN (but see also frustrations).[CR]","CPAN dependency hell with most modules. Sometimes I have to reinvent the wheel because the module I would like to use from CPAN depends on, say, 5 other modules, which then recursively end up depending on a total of 30 modules. This would be fine for in-house software, but not for software we ship. Also:[CR][CR]CPAN module installation is difficult. This is particularly important for our company, because end users are often unable to install CPAN modules either because they lack technical ability or because of organisational policies. Thus, we need to stick with what ActiveState ships by default on Windows, or include the relevant installation packages on a CD (which then leads to many support requests, because the modules need to be installed in a certain order after ActivePerl but before our product...). This is less of a problem with Debian or RHEL based Linux distributions, though even in those installing modules from CPAN often has to be done manually bypassing the package manager.[CR]","Highly pragmatic, sometimes inelegant"
"428","","",""
"429","fast and reliable","too difficult, nearly impossible to read,[CR]will there be to different perls with perl 6?[CR]many perl-programmer are arrogant and unfriendly :-)","difficult, freaky, unreadable"
"430","","",""
"431","lack of boileplate overhead code in getting new scripts off the ground","nested data structures",""
"432","","",""
"433","Modern, flexible, maintainable when you know how, featureful (OO, functional, closure), extendable (Devel::Declare, Moose, MooseX), complete testing framework, lots of modern web framework to choose from, CPAN.","Legacy code that was written in a bad way.",""
"434","","",""
"435","","",""
"436","how easy it is to re-learn when I don't use it all the time.","how easy it is for me to forget parts when I don't use it for a while.","Strong, flexible, logical"
"437","conditional evaluations","Dereferencing an array of hashrefs holding arrays","quick and fun"
"438","CPAN","20 years of syntactic baggage","baby's first swiss-army chainsaw"
"439","","",""
"440","It's powerful and I can use it!","Line noise","Programming language wot I use"
"441","","",""
"442","CPAN","installing a module and finding it requires half of CPAN as dependencies","lets you get the job done"
"443","Flexibility - it can do pretty much whatever you want with almost no hassle, thanks to CPAN modules","unusual syntax/structure","flexible powerful large bulky"
"444","Portability and availability.","Code can be hard to understand",""
